district,school
Huntington Union Free School District,Huntington High School
Huntington Union Free School District,J. Taylor Finley Middle School
Huntington Union Free School District,Woodhull Intermediate School
Huntington Union Free School District,Jack Abrams STEM Magnet School
Huntington Union Free School District,Flower Hill Primary School
Huntington Union Free School District,Jefferson Primary School
Huntington Union Free School District,Southdown Primary School
Huntington Union Free School District,Washington Primary School
Harborfields Central School District,Harborfields High School
Harborfields Central School District,Oldfield Middle School
Harborfields Central School District,Thomas J. Lahey Elementary School
Harborfields Central School District,Washington Drive Primary School
South Huntington Union Free School District,Walt Whitman High School
South Huntington Union Free School District,Henry L. Stimson Middle School
South Huntington Union Free School District,Silas Wood 6th Grade Center
South Huntington Union Free School District,Birchwood Intermediate School
South Huntington Union Free School District,Maplewood Intermediate School
South Huntington Union Free School District,Oakwood Primary Center
South Huntington Union Free School District,Countrywood Primary Center
Elwood Union Free School District,Elwood-John H. Glenn High School
Elwood Union Free School District,Elwood Middle School
Elwood Union Free School District,James H. Boyd Intermediate School
Elwood Union Free School District,Harley Avenue Primary School
Northport-East Northport Union Free School District,Northport Senior High School
Northport-East Northport Union Free School District,Northport Middle School
Northport-East Northport Union Free School District,East Northport Middle School
Northport-East Northport Union Free School District,Fifth Avenue Elementary School
Northport-East Northport Union Free School District,Norwood Avenue School
Northport-East Northport Union Free School District,Ocean Avenue School
Northport-East Northport Union Free School District,Pulaski Road School
Half Hollow Hills Central School District,Half Hollow Hills High School East
Half Hollow Hills Central School District,Half Hollow Hills High School West
Half Hollow Hills Central School District,Candlewood Middle School
Half Hollow Hills Central School District,West Hollow Middle School
Half Hollow Hills Central School District,Otsego Elementary School
Half Hollow Hills Central School District,Paumanok Elementary School
Half Hollow Hills Central School District,Signal Hill Elementary School
Half Hollow Hills Central School District,Sunquam Elementary School
Half Hollow Hills Central School District,Vanderbilt Elementary School
